TEMP:             MU:          SIGMA: 
0.683912        0.142833         0.83573
0.682544        0.729886        0.556302
0.681179       0.0860444           0.675
0.679817        0.506941        0.822089
0.678457         0.26337        0.629184
0.6771        0.909896         1.00536
0.675746        0.301223         1.09591
0.674394        0.241118         1.00612
0.673046        0.700462        0.948409
0.671699         1.14896          1.0507
0.670356        0.509806        0.913629
0.669015        0.250807        0.978917
0.667677        0.724863         1.04796
0.666342        0.471186         1.14743
0.665009        0.101929         1.30679
0.663679        0.428985         1.08324
0.662352        0.410263         1.13247
0.661027        0.364089        0.798162
0.659705        0.342767        0.880245
0.658386        0.599565          1.0149
0.657069       0.0255185         1.03959
0.655755        0.237914        0.894949
0.654443        0.435638        0.799665
0.653134        0.944772        0.813277
0.651828          1.0367        0.435602
0.650525         0.88605        0.638705
0.649223        0.834083        0.706591
0.647925         1.16418        0.720091
0.646629         1.22859        0.613512
0.645336         1.21748        0.510728
0.644045         1.22247        0.929411
0.642757         1.14349        0.884506
0.641472        0.595629        0.755403
0.640189        0.617837        0.753764
0.638908        0.585057        0.885285
0.63763        0.384624        0.649559
0.636355        0.686141        0.387511
0.635083         1.01749        0.562766
0.633812         1.01348        0.605201
0.632545         1.03068        0.861706
0.63128       0.0930658        0.877049
0.630017       0.0791571         1.08083
0.628757        0.206915         1.18285
0.6275        0.901673        0.650515
0.626245        0.738236        0.549922
0.624992        0.272093        0.504551
0.623742        0.846294        0.742592
0.622495        0.677032        0.565023
0.62125        0.964344        0.859483
0.620007        0.010242        0.643112
0.618767        0.551775        0.914313
0.61753          0.1709         1.08839
0.616294        0.375086         1.19121
0.615062       0.0703446         1.09721
0.613832        0.204663          1.0781
0.612604        0.316182         1.03141
0.611379        0.419399        0.786397
0.610156       0.0659534        0.642112
0.608936        0.654671         1.02285
0.607718        0.708968        0.962544
0.606503        0.153413        0.791585
0.60529       0.0975992        0.600688
0.604079        0.961562        0.963815
0.602871        0.837945        0.648461
0.601665        0.508136        0.764982
0.600462        0.995346        0.544033
0.599261        0.617907         0.66714
0.598062        0.416572        0.369611
0.596866        0.404382        0.305278
0.595672        0.224197        0.723746
0.594481         1.10773        0.980213
0.593292        0.094836         1.15124
0.592106         0.13179        0.878667
0.590921        0.633187        0.839416
0.589739        0.436571        0.987843
0.58856        0.312208         1.00818
0.587383       0.0931103         1.25939
0.586208        0.413382         1.38313
0.585036        0.122626          1.0924
0.583866        0.435263        0.892825
0.582698        0.408476        0.931852
0.581532       0.0182591        0.766482
0.580369      0.00908578         1.09876
0.579209        0.209547         1.13365
0.57805        0.094727         1.12584
0.576894        0.536336        0.987264
0.57574        0.660823        0.853419
0.574589        0.219959         1.20695
0.57344       0.0567834         1.19422
0.572293        0.364098         1.10284
0.571148        0.112827         1.40113
0.570006        0.102479        0.856108
0.568866        0.267321        0.880992
0.567728       0.0429115        0.931509
0.566593       0.0518615         1.22635
0.56546       0.0613665         1.35226
0.564329        0.326174         1.33285
0.5632       0.0641378         1.06504
0.562074       0.0297989        0.812023
0.560949        0.234591        0.855645
0.559828        0.259954         1.25657
0.558708        0.845432         1.08529
0.55759        0.797038        0.908939
0.556475        0.608385        0.985627
0.555362        0.294988        0.671358
0.554252        0.838718        0.763297
0.553143        0.485038        0.854082
0.552037        0.396614        0.908088
0.550933         0.93667        0.786183
0.549831          0.8745        0.701926
0.548731         1.16508        0.758413
0.547634        0.329033        0.860505
0.546538        0.364567        0.650745
0.545445        0.840969        0.591042
0.544355         1.03398        0.762773
0.543266        0.859784        0.913689
0.542179        0.731876        0.625844
0.541095         0.52248         0.61607
0.540013        0.163914        0.807214
0.538933        0.344367         1.04692
0.537855        0.419604        0.900207
0.536779        0.121284        0.832402
0.535706       0.0600435        0.724332
0.534634        0.301861        0.784704
0.533565        0.531039        0.575116
0.532498        0.546137        0.407658
0.531433         1.10049        0.520888
0.53037         1.39186        0.351757
0.529309         1.15852        0.369481
0.528251         1.07352        0.635233
0.527194        0.954379        0.682243
0.52614        0.958685        0.532916
0.525087         1.00456        0.459077
0.524037        0.995793        0.459761
0.522989        0.745582        0.528844
0.521943        0.820885        0.611991
0.520899         1.18082        0.580352
0.519857        0.745503        0.606666
0.518818         1.26687        0.691953
0.51778         1.04674        0.676949
0.516745        0.928906        0.869261
0.515711        0.598433        0.630548
0.51468        0.976191        0.940998
0.51365          0.9356        0.782674
0.512623        0.557986         1.01547
0.511598        0.608403        0.991054
0.510575        0.588452          0.9331
0.509553        0.231358        0.835762
0.508534        0.419929        0.998626
0.507517        0.529954         1.11565
0.506502       0.0953981         1.13946
0.505489       0.0740449         1.29266
0.504478        0.431168          1.2478
0.503469       0.0968674         1.05746
0.502462      0.00851959        0.976728
0.501457       0.0920433         1.22423
0.500454        0.288054        0.895168
0.499454       0.0396328        0.887337
0.498455        0.355897        0.987201
0.497458        0.692408           1.055
0.496463        0.731588         1.02131
0.49547        0.577029         1.02055
0.494479        0.173347         1.07683
0.49349        0.452633         1.02769
0.492503        0.180148         1.11445
0.491518        0.424087        0.977575
0.490535        0.245183         1.02757
0.489554       0.0559072         1.03759
0.488575       0.0555704         1.30845
0.487598        0.444183         1.09371
0.486622        0.391369         1.06001
0.485649        0.408535        0.754825
0.484678         1.16023         0.46097
0.483709        0.705498        0.672034
0.482741        0.757102        0.875261
0.481776        0.414802         1.03264
0.480812        0.286884        0.668455
0.47985        0.613383        0.740196
0.478891        0.480584        0.554173
0.477933         0.45872        0.799856
0.476977        0.177254        0.726163
0.476023        0.681428        0.630319
0.475071        0.736099        0.546407
0.474121         0.69239         0.93804
0.473173       0.0262006         1.03815
0.472226        0.131239         1.17254
0.471282        0.127965         1.07335
0.470339       0.0340205        0.831274
0.469399        0.428887        0.842115
0.46846       0.0308047         1.13556
0.467523        0.116883         1.10204
0.466588        0.335036         0.76444
0.465655        0.932166        0.766113
0.464723        0.507778        0.851076
0.463794        0.372486         1.10716
0.462866        0.775401        0.783017
0.461941         1.20814        0.440332
0.461017        0.811092        0.609211
0.460095        0.679411        0.643805
0.459175         0.85658        0.817205
0.458256        0.638262        0.360038
0.45734         0.30312         0.61695
0.456425        0.842439        0.732474
0.455512        0.857428        0.780586
0.454601        0.751625        0.860611
0.453692        0.986147         0.73242
0.452785        0.421352        0.690074
0.451879         0.28022         1.03069
0.450975        0.370181        0.692097
0.450073        0.393657        0.974229
0.449173      0.00827844         0.95071
0.448275        0.228911        0.921517
0.447378        0.274532         1.04518
0.446484        0.774409          0.9886
0.445591        0.334478        0.615033
0.444699        0.525063        0.639515
0.44381          0.8189        0.529338
0.442922         1.07951        0.839209
0.442036          1.0136        0.463852
0.441152        0.898463        0.657469
0.44027         0.77889        0.548044
0.43939        0.657378        0.584057
0.438511        0.144835        0.523143
0.437634        0.357241        0.397827
0.436759        0.364626        0.882116
0.435885        0.826525        0.847055
0.435013        0.948603        0.898643
0.434143        0.723547         0.66086
0.433275        0.642453        0.663232
0.432408        0.615099         0.63131
0.431544        0.876175        0.518122
0.43068          0.7976         0.83669
0.429819        0.837041         1.06212
0.428959        0.621363         1.09377
0.428102          0.4414         1.03627
0.427245        0.318902        0.979941
0.426391       0.0694696          0.8087
0.425538       0.0445223         0.94428
0.424687        0.145872        0.855037
0.423838         0.14717        0.755021
0.42299        0.275059        0.699831
0.422144        0.494568        0.738595
0.4213        0.416745        0.684063
0.420457        0.686947        0.822452
0.419616        0.700194        0.710246
0.418777        0.222062        0.803427
0.417939        0.456233         0.80043
0.417103         0.71071        0.607184
0.416269        0.830826        0.696585
0.415437        0.783112        0.451864
0.414606         1.09093        0.486905
0.413777         1.21371        0.562821
0.412949        0.966471        0.571745
0.412123         1.05073        0.656368
0.411299        0.829812        0.488258
0.410476        0.962449        0.504457
0.409655        0.461122        0.613365
0.408836        0.815694        0.697329
0.408018         1.06935        0.604536
0.407202        0.527496        0.525214
0.406388        0.732296        0.538559
0.405575        0.778602        0.616268
0.404764        0.785317        0.563821
0.403955         1.10132        0.524554
0.403147        0.906425        0.522254
0.40234         1.27321        0.419786
0.401536           1.046        0.456703
0.400733        0.976932        0.481074
0.399931        0.681569         0.45299
0.399131         1.13137        0.322381
0.398333        0.778206        0.389806
0.397536         1.09354        0.521475
0.396741        0.981225        0.492926
0.395948         1.22703        0.499041
0.395156         1.01551        0.540798
0.394366        0.910351         0.51884
0.393577         0.65497        0.475281
0.39279        0.809048        0.467241
0.392004        0.402503        0.440083
0.39122         0.39349        0.448593
0.390438        0.343408        0.888313
0.389657        0.119866         1.06883
0.388877        0.383449         1.08085
0.3881        0.280681        0.840079
0.387324        0.569755        0.920417
0.386549        0.380615         1.03896
0.385776        0.266191         1.09673
0.385004      0.00291187         1.05661
0.384234        0.597143         1.07471
0.383466        0.300724         1.01651
0.382699        0.263152         1.14723
0.381933        0.198474         1.12837
0.38117        0.483342        0.980268
0.380407        0.856121        0.658511
0.379646         1.03686        0.702838
0.378887         1.05746        0.712943
0.378129        0.797297        0.638314
0.377373         1.11545        0.518223
0.376618        0.981164        0.477029
0.375865        0.862795        0.471334
0.375113        0.736839        0.416327
0.374363         1.08106        0.552311
0.373614        0.611045        0.690214
0.372867        0.619048        0.605858
0.372121        0.868417        0.733595
0.371377         1.01962        0.572688
0.370634         1.10994         0.67499
0.369893         1.14727        0.338411
0.369153          1.2496        0.308674
0.368415        0.902183        0.406823
0.367678          1.1109        0.531847
0.366943        0.719202        0.676141
0.366209        0.895405        0.849331
0.365477        0.990966        0.663537
0.364746        0.709079        0.577585
0.364016        0.691878         0.59303
0.363288         0.67277        0.494751
0.362562        0.866974        0.456949
0.361836        0.871761        0.680162
0.361113        0.545855        0.856887
0.360391         0.85598         1.01405
0.35967        0.375224        0.791629
0.35895        0.233093        0.891205
0.358232        0.283286         1.19692
0.357516       0.0437819         1.15793
0.356801        0.332837         1.26984
0.356087       0.0785047         1.14106
0.355375       0.0990427        0.984421
0.354664       0.0833454        0.873326
0.353955        0.102491        0.813829
0.353247        0.469527        0.966877
0.352541        0.270292        0.918448
0.351836        0.586412        0.891823
0.351132        0.631243         0.72096
0.35043        0.856062        0.512462
0.349729        0.749555        0.564262
0.349029        0.667157         0.77432
0.348331        0.328895        0.945468
0.347635       0.0584277         1.00094
0.346939        0.249612        0.823254
0.346246        0.142184        0.653166
0.345553      0.00434164         0.49524
0.344862        0.246021        0.530381
0.344172        0.119203        0.898043
0.343484         0.49265        0.837156
0.342797        0.399393        0.970348
0.342111        0.751936        0.875195
0.341427        0.944331        0.758696
0.340744        0.930471        0.605743
0.340063        0.866736        0.719206
0.339383        0.880686        0.598688
0.338704        0.824481        0.483427
0.338026        0.929058        0.580063
0.33735         0.57727        0.597856
0.336676        0.988765        0.486795
0.336002        0.897256        0.561469
0.33533        0.821362        0.572682
0.33466        0.631339        0.557289
0.33399        0.520303        0.474048
0.333322        0.635703        0.566403
0.332656        0.417494        0.608931
0.33199        0.469329        0.700558
0.331326        0.793877        0.472763
0.330664        0.423816        0.600255
0.330002        0.694579        0.478357
0.329342        0.685254        0.654924
0.328684        0.747666        0.709004
0.328026        0.575005         1.03453
0.32737        0.299907           1.126
0.326716      0.00675978         1.18695
0.326062      0.00880059         1.16326
0.32541        0.597539         1.12809
0.324759        0.430164         1.06613
0.32411       0.0349183         1.10014
0.323461       0.0647613         1.14207
0.322815        0.270589         1.22828
0.322169        0.333669         1.31683
0.321525        0.399554         1.08339
0.320882        0.101718         1.00598
0.32024        0.398381         1.06228
0.319599        0.307408         0.99068
0.31896        0.206051        0.947925
0.318322        0.459964         1.08057
0.317686        0.678461         1.05111
0.31705        0.428463          0.9015
0.316416        0.171041         1.08355
0.315783        0.266515          1.0489
