TEMP:             MU:          SIGMA: 
0.321096        0.741009        0.470989
0.321096         0.71206        0.534526
0.317885        0.622757        0.559735
0.317885        0.496957        0.572319
0.317885        0.626525        0.526599
0.314707        0.656562        0.517714
0.314707        0.763729        0.456202
0.314707        0.762226        0.589178
0.311559        0.826181        0.570223
0.311559        0.700761        0.561271
0.311559        0.727657        0.614936
0.308444        0.817597        0.610132
0.308444         0.96884        0.574095
0.308444         1.06342        0.539312
0.305359        0.978332        0.509313
0.305359        0.901297        0.568466
0.305359        0.981573        0.524048
0.302306        0.962228        0.552056
0.302306        0.869293        0.509673
0.302306         1.00938        0.563675
0.299283        0.910356        0.592786
0.299283        0.954752        0.649091
0.299283        0.915551        0.657541
0.29629          1.0582        0.675363
0.29629         1.10399        0.646649
0.29629         1.16101        0.635354
0.293327         1.13755        0.595734
0.293327         1.10335        0.635234
0.293327          1.2467         0.65517
0.290394        0.958122        0.655279
0.290394         1.06915        0.684966
0.290394         1.07146        0.663849
0.28749         1.01735        0.677624
0.28749         1.08226        0.712217
0.28749          1.1284        0.767031
0.284615         1.24592        0.801911
0.284615         1.13379        0.782291
0.284615         1.24534        0.846357
0.281769         1.12447        0.841691
0.281769            1.21         0.90952
0.281769          1.1242        0.815509
0.278951         1.13613        0.808091
0.278951         1.24278         0.80728
0.278951         1.15428         0.87544
0.276162         1.18554        0.785716
0.276162          1.0304         0.87243
0.276162        0.968227        0.831422
0.2734        0.847723        0.768111
0.2734        0.790084        0.770686
0.2734        0.718493        0.836266
0.270666         0.69399        0.893472
0.270666         0.76722        0.946568
0.270666        0.876463        0.980899
0.267959        0.797404        0.995931
0.267959        0.812975        0.958732
0.267959        0.938704        0.945673
0.26528        0.813305        0.914464
0.26528        0.877965         0.91168
0.26528        0.757155        0.903171
0.262627        0.819017         0.87439
0.262627        0.836123        0.905855
0.262627         0.74642        0.895235
0.260001        0.676688        0.941874
0.260001        0.788962         1.00669
0.260001        0.612077        0.880145
0.257401        0.556974        0.894562
0.257401        0.531433        0.943766
0.257401        0.549908        0.891867
0.254827        0.474072        0.880172
0.254827        0.477169        0.839476
0.254827        0.353688        0.815441
0.252278        0.464115        0.887332
0.252278        0.586481        0.839119
0.252278        0.703622        0.869714
0.249756        0.636454        0.896107
0.249756        0.620644        0.861882
0.249756        0.633893        0.877469
0.247258        0.696194        0.929333
0.247258        0.722769        0.925989
0.247258        0.667124        0.877519
0.244785        0.723506        0.889748
0.244785        0.643991         0.88858
0.244785        0.602058        0.870735
0.242338        0.634516        0.839305
0.242338        0.724172        0.840525
0.242338        0.836151        0.855871
0.239914        0.891464        0.859339
0.239914         1.00386        0.826171
0.239914        0.896247        0.788481
0.237515          0.7928        0.771468
0.237515        0.847018        0.808984
0.237515        0.768646        0.731775
0.23514        0.736176        0.679069
0.23514        0.710444        0.660409
0.23514        0.747567         0.62226
0.232789        0.679241        0.660551
0.232789        0.629052        0.639591
0.232789        0.594096         0.60463
0.230461         0.53722        0.556675
0.230461        0.628918        0.596326
0.230461        0.707626        0.630001
0.228156        0.647167        0.592922
0.228156        0.533661        0.541821
0.228156        0.750561        0.554446
0.225875        0.836313         0.55069
0.225875        0.736075        0.559127
0.225875        0.802064        0.530114
0.223616        0.712035        0.512177
0.223616        0.725723        0.542429
0.223616        0.614769         0.56998
0.22138        0.584989        0.573747
0.22138        0.632347        0.544835
0.22138        0.627538        0.571915
0.219166         0.52614        0.594657
0.219166        0.646093        0.582227
0.219166        0.538055        0.610365
0.216974         0.60044        0.620086
0.216974        0.553527        0.569566
0.216974        0.491413         0.54655
0.214804        0.604498        0.517797
0.214804        0.564184        0.491454
0.214804        0.668916        0.512632
0.212656        0.665724        0.518919
0.212656        0.572108        0.520999
0.212656        0.563125        0.506649
0.21053        0.669482         0.50483
0.21053        0.648253        0.565946
0.21053        0.657327        0.603819
0.208425        0.693277        0.565189
0.208425        0.752183        0.612663
0.208425        0.684791        0.635587
0.20634        0.719392        0.685474
0.20634        0.699461        0.649593
0.20634        0.662628        0.640668
0.204277        0.585212        0.615843
0.204277         0.53719        0.606671
0.204277        0.489476        0.604743
0.202234        0.404479        0.585489
0.202234        0.434819        0.574721
0.202234        0.466017        0.618992
0.200212        0.398062        0.582676
0.200212        0.381496        0.556814
0.200212         0.32289        0.531643
0.19821        0.350649        0.525481
0.19821        0.316457        0.520912
0.19821         0.43071        0.532826
0.196228        0.509234        0.511202
0.196228        0.546231        0.480014
0.196228        0.607275        0.490016
0.194265        0.514298        0.521063
0.194265        0.472172        0.513329
0.194265        0.430951        0.531327
0.192323        0.595345        0.540668
0.192323        0.628872        0.579858
0.192323        0.614452        0.616395
0.190399        0.703708        0.660513
0.190399        0.778617        0.654678
0.190399        0.846918        0.698159
0.188495        0.914085        0.701223
0.188495         0.96549        0.678732
0.188495         1.00257        0.685595
0.18661        0.938639        0.706822
0.18661        0.915231        0.688355
0.18661        0.929049        0.655879
0.184744        0.984805         0.65344
0.184744         1.02485        0.648436
0.184744        0.968345        0.683189
0.182897         1.00575        0.727924
0.182897         1.05101        0.717693
0.182897        0.908644        0.683423
0.181068        0.981101        0.651116
0.181068        0.978284        0.687121
0.181068        0.970395        0.722592
0.179257         1.06294        0.687608
0.179257         1.07566        0.726715
0.179257         1.02192        0.693613
0.177465         1.04142        0.682767
0.177465        0.961497        0.651145
0.177465        0.922528        0.687309
0.17569         1.00932        0.713162
0.17569        0.985388        0.676749
0.17569        0.874175        0.691356
0.173933        0.821951        0.653023
0.173933        0.805509        0.631022
0.173933        0.772905        0.646334
0.172194        0.819714        0.634686
0.172194          0.7651        0.613853
0.172194        0.780355        0.656709
0.170472        0.729611        0.626956
0.170472        0.759112         0.65409
0.170472        0.736865        0.696069
0.168767        0.692353        0.656006
0.168767        0.764464        0.647802
0.168767        0.793984         0.61322
0.167079        0.859098        0.608375
0.167079        0.778842        0.638357
0.167079         0.81315        0.609923
0.165409        0.868202        0.607234
0.165409        0.859094        0.644969
0.165409         0.83008        0.628166
0.163755        0.897407        0.653817
0.163755        0.978818         0.64957
0.163755          1.0125        0.654742
0.162117         1.06343        0.643302
0.162117         1.01863         0.63522
0.162117         1.02683        0.615775
0.160496        0.978221        0.592515
0.160496         0.97274        0.585739
0.160496        0.984714        0.554184
0.158891        0.972886        0.570033
0.158891        0.928052        0.598011
0.158891         0.93786        0.566322
0.157302        0.916555        0.544203
0.157302        0.843667        0.582826
0.157302        0.901858        0.569445
0.155729         0.91586        0.588484
0.155729        0.850076        0.579421
0.155729        0.910403        0.588176
0.154172        0.887054        0.569749
0.154172        0.870542        0.570409
0.154172        0.930899        0.586413
0.15263         1.00433        0.597512
0.15263        0.965025        0.566927
0.15263        0.923032        0.543835
0.151104        0.975039        0.568866
0.151104         1.01165        0.596781
0.151104         1.02435         0.62623
0.149593         1.05711        0.659853
0.149593         1.04466        0.646326
0.149593         1.08878        0.663705
0.148097         1.06866        0.677183
0.148097         1.09543        0.694571
0.148097          1.1244        0.676074
0.146616         1.17716        0.659457
0.146616         1.12522         0.70053
0.146616         1.13983        0.669589
0.14515         1.08715        0.637099
0.14515         1.12077         0.62081
0.14515         1.11814        0.602623
0.143698         1.04585        0.598088
0.143698         1.05178        0.612579
0.143698        0.989872         0.58577
0.142261         1.02741        0.564527
0.142261        0.998441        0.579675
0.142261         1.06943        0.562406
0.140838         1.06307        0.570419
0.140838        0.995086        0.585375
0.140838         1.05145        0.613704
0.13943        0.977718         0.56127
0.13943         0.91192        0.565078
0.13943        0.856362        0.593912
0.138036        0.878149         0.57642
0.138036        0.843289         0.55869
0.138036         0.84741        0.556531
0.136655        0.812289        0.573569
0.136655        0.793054        0.588339
0.136655        0.840233        0.613467
0.135289        0.799386        0.602289
0.135289        0.817875        0.626715
0.135289        0.770332        0.622195
0.133936        0.796898        0.623519
0.133936        0.767074        0.647793
0.133936        0.794459        0.669973
0.132597        0.740696        0.682787
0.132597        0.679786        0.652666
0.132597         0.63529        0.654236
0.131271        0.658588        0.685552
0.131271        0.713625        0.674968
0.131271        0.715998        0.667494
0.129958        0.751339         0.69574
0.129958        0.798232        0.696193
0.129958        0.852991        0.705995
0.128658        0.820503        0.678504
0.128658        0.789868        0.647132
0.128658        0.801483        0.637571
0.127372        0.754463        0.617135
0.127372        0.850213        0.625448
0.127372        0.886791        0.628042
0.126098        0.912199        0.602527
0.126098        0.820312         0.62523
0.126098        0.825953        0.616676
0.124837        0.873911        0.628154
0.124837        0.813677        0.631366
0.124837        0.801293        0.628972
0.123589        0.778419        0.617399
0.123589        0.796959        0.628739
0.123589        0.747457        0.645013
0.122353         0.80674        0.616787
0.122353        0.828606        0.605403
0.122353        0.792064        0.611579
0.121129        0.780745        0.620475
0.121129        0.823781        0.630815
0.121129        0.840626         0.66092
0.119918        0.876116        0.633306
0.119918        0.920702        0.648068
0.119918        0.930413        0.658084
0.118719        0.934529        0.664935
0.118719        0.900305        0.632315
0.118719        0.891149         0.62587
0.117532        0.863037        0.636449
0.117532        0.873396        0.639763
0.117532        0.911617        0.660357
0.116356         0.92015        0.652888
0.116356        0.943925         0.63504
0.116356        0.906446        0.638224
0.115193        0.882294        0.640613
0.115193        0.826017        0.631596
0.115193        0.798633        0.613591
0.114041        0.838371        0.611396
0.114041        0.822504        0.616125
0.114041        0.773916        0.626427
0.1129        0.793795        0.634277
0.1129        0.828244        0.614172
0.1129        0.774993        0.602127
0.111771        0.729945        0.587783
0.111771        0.718857        0.590107
0.111771        0.667419        0.564139
0.110654         0.69159        0.613394
0.110654        0.718133        0.592315
0.110654         0.71344        0.587846
0.109547         0.67928        0.575415
0.109547        0.725858        0.585638
0.109547         0.75914        0.584499
0.108452        0.765636        0.600783
0.108452        0.770027        0.591511
0.108452        0.776219        0.569893
0.107367        0.788132        0.582765
0.107367        0.760208        0.581321
0.107367        0.781981        0.557867
0.106294        0.731093         0.56077
0.106294        0.759937        0.570791
0.106294        0.783971         0.56857
0.105231        0.766638        0.553478
0.105231        0.816771        0.528141
0.105231        0.837512        0.538301
0.104178        0.805974        0.529025
0.104178        0.846231        0.546148
0.104178        0.829376        0.547816
0.103137        0.871362        0.523395
0.103137        0.914287        0.525735
0.103137         0.87978        0.530101
0.102105        0.855137        0.536108
0.102105        0.849386         0.55612
0.102105        0.884539        0.561959
0.101084        0.845811        0.586901
0.101084        0.800822        0.596581
0.101084        0.850416        0.607547
0.100073        0.827951        0.621516
0.100073        0.793953        0.643537
0.100073        0.834522         0.64122
0.0990725        0.825146        0.642913
0.0990725        0.823527        0.659897
0.0990725        0.824589        0.650388
0.0980818        0.850221        0.664888
0.0980818        0.807981        0.674483
0.0980818        0.771223        0.676085
0.097101        0.798138        0.679385
0.097101         0.83247        0.677208
0.097101        0.793003        0.664159
0.09613         0.75524        0.645556
0.09613        0.754123        0.628191
0.09613         0.79125        0.644475
0.0951687        0.767023        0.642489
0.0951687        0.792456        0.619465
0.0951687        0.790445        0.628737
0.094217        0.759809         0.61303
0.094217        0.762872        0.599077
0.094217        0.717511        0.604724
0.0932748        0.694284        0.581743
0.0932748         0.72981        0.567438
0.0932748        0.739654         0.58967
0.0923421         0.74595        0.591015
0.0923421        0.776457        0.606027
0.0923421        0.738139        0.599705
0.0914186          0.7487        0.614574
0.0914186        0.707116         0.59941
0.0914186        0.677625        0.583698
0.0905044        0.681597        0.583144
