#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         481     79.3272     79.0076   0.0213645
         482     78.2854     79.0061   0.0213726
         483     79.1882     79.0064   0.0213317
         484      79.314     79.0071   0.0212971
         485     79.4659      79.008   0.0212742
         486      79.099     79.0082   0.0212312
         487     78.5582     79.0073   0.0212077
         488     78.7628     79.0068   0.0211702
         489      79.299     79.0074   0.0211353
         490     78.2085     79.0057    0.021155
         491     79.6923     79.0071    0.021158
         492     78.9224      79.007   0.0211157
         493     79.0859     79.0071   0.0210735
         494     79.0279     79.0072   0.0210309
         495     79.2139     79.0076   0.0209926
         496     78.7721     79.0071   0.0209556
         497     78.3475     79.0058   0.0209554
         498     78.9695     79.0057   0.0209135
         499     78.3267     79.0044   0.0209158
         500     79.1616     79.0047   0.0208763
