#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         444    0.323226    0.329795 0.000190819
         445    0.330556    0.329797 0.000190398
         446      0.3203    0.329776 0.000191158
         447    0.323285    0.329761 0.000191281
         448     0.32352    0.329747 0.000191361
         449     0.33071    0.329749 0.000190947
         450    0.333589    0.329758 0.000190713
         451    0.327734    0.329754 0.000190343
         452     0.32449    0.329742 0.000190278
         453    0.330922    0.329744 0.000189876
         454    0.331486    0.329748 0.000189496
         455    0.336934    0.329764 0.000189737
         456    0.319704    0.329742 0.000190599
         457    0.330822    0.329744 0.000190196
         458    0.329426    0.329744 0.000189782
         459    0.333258    0.329751 0.000189523
         460    0.335677    0.329764 0.000189549
         461    0.330936    0.329767 0.000189154
         462    0.329771    0.329767 0.000188745
         463    0.330446    0.329768 0.000188343
         464    0.326027     0.32976  0.00018811
         465    0.331826    0.329765 0.000187758
         466    0.327303    0.329759 0.000187429
         467    0.328221    0.329756 0.000187057
         468    0.336792    0.329771  0.00018726
         469    0.323773    0.329758 0.000187297
         470    0.330623     0.32976 0.000186907
         471    0.328738    0.329758 0.000186523
         472    0.333607    0.329766 0.000186306
         473    0.328822    0.329764 0.000185923
         474    0.338716    0.329783 0.000186487
         475    0.331369    0.329786 0.000186125
         476    0.321406    0.329769 0.000186565
         477    0.327918    0.329765 0.000186214
         478    0.330308    0.329766 0.000185828
         479    0.333236    0.329773 0.000185581
         480    0.337399    0.329789 0.000185873
         481    0.324838    0.329779 0.000185771
         482    0.334832    0.329789 0.000185682
         483    0.328444    0.329787 0.000185318
         484    0.326194    0.329779 0.000185084
         485    0.328142    0.329776 0.000184733
         486    0.330853    0.329778 0.000184366
         487    0.333185    0.329785  0.00018412
         488    0.332518    0.329791 0.000183828
         489    0.326217    0.329783 0.000183597
         490    0.331377    0.329787 0.000183251
         491    0.325552    0.329778 0.000183081
         492    0.327421    0.329773 0.000182772
         493    0.328825    0.329771 0.000182411
         494    0.331243    0.329774 0.000182066
         495    0.328878    0.329772 0.000181707
         496    0.332219    0.329777 0.000181408
         497    0.335221    0.329788 0.000181373
         498    0.330031    0.329789  0.00018101
         499    0.336667    0.329803 0.000181171
         500    0.327763    0.329798 0.000180855
